"";"artistid1";"artistid2"
"1";2;103
"2";4;5
"3";5;4
"4";9;135
"5";15;107
"6";15;16
"7";15;168
"8";16;15
"9";16;168
"10";18;162
"11";20;21
"12";20;26
"13";20;27
"14";20;148
"15";20;203
"16";21;20
"17";22;55
"18";24;128
"19";26;20
"20";26;27
"21";26;148
"22";27;20
"23";27;26
"24";27;148
"25";27;144
"26";27;174
"27";30;143
"28";30;194
"29";33;203
"30";35;139
"31";35;218
"32";36;37
"33";36;176
"34";37;36
"35";37;176
"36";37;38
"37";37;154
"38";37;165
"39";37;173
"40";38;37
"41";38;154
"42";38;165
"43";38;173
"44";42;43
"45";42;199
"46";43;42
"47";43;199
"48";46;47
"49";46;217
"50";47;46
"51";47;217
"52";54;55
"53";55;22
"54";55;54
"55";58;91
"56";63;111
"57";63;218
"58";65;118
"59";66;67
"60";66;183
"61";66;107
"62";66;172
"63";67;66
"64";67;183
"65";73;74
"66";74;73
"67";74;111
"68";74;115
"69";77;78
"70";77;246
"71";78;77
"72";79;149
"73";81;132
"74";85;86
"75";85;142
"76";85;167
"77";85;218
"78";86;85
"79";86;142
"80";86;167
"81";86;218
"82";89;90
"83";89;177
"84";90;89
"85";91;58
"86";92;93
"87";93;92
"88";96;107
"89";103;226
"90";103;2
"91";104;179
"92";107;15
"93";107;66
"94";107;96
"95";108;114
"96";108;181
"97";111;63
"98";111;218
"99";111;74
"100";111;115
"101";112;120
"102";112;124
"103";112;186
"104";112;198
"105";112;114
"106";112;124
"107";114;108
"108";114;181
"109";114;124
"110";114;213
"111";114;112
"112";114;124
"113";115;74
"114";115;111
"115";117;164
"116";118;65
"117";119;212
"118";120;112
"119";120;124
"120";120;186
"121";120;198
"122";124;186
"123";124;198
"124";124;114
"125";124;213
"126";124;112
"127";124;120
"128";124;186
"129";124;198
"130";124;112
"131";124;114
"132";124;146
"133";124;186
"134";125;205
"135";127;187
"136";128;24
"137";130;133
"138";132;81
"139";133;130
"140";135;188
"141";135;9
"142";139;35
"143";139;218
"144";142;85
"145";142;86
"146";142;167
"147";142;218
"148";143;30
"149";143;194
"150";144;27
"151";144;174
"152";146;124
"153";146;186
"154";147;208
"155";147;208
"156";147;208
"157";148;20
"158";148;26
"159";148;27
"160";149;79
"161";151;215
"162";154;37
"163";154;38
"164";154;165
"165";154;173
"166";155;180
"167";156;175
"168";156;192
"169";157;166
"170";160;163
"171";161;223
"172";161;195
"173";162;18
"174";163;160
"175";163;200
"176";163;200
"177";164;117
"178";165;37
"179";165;38
"180";165;154
"181";165;173
"182";166;157
"183";167;85
"184";167;86
"185";167;142
"186";167;218
"187";168;15
"188";168;16
"189";172;66
"190";173;37
"191";173;38
"192";173;154
"193";173;165
"194";174;27
"195";174;144
"196";175;156
"197";175;192
"198";176;36
"199";176;37
"200";177;89
"201";179;104
"202";180;155
"203";181;197
"204";181;108
"205";181;114
"206";183;66
"207";183;67
"208";186;213
"209";186;124
"210";186;198
"211";186;112
"212";186;120
"213";186;124
"214";186;198
"215";186;124
"216";186;146
"217";187;127
"218";188;135
"219";192;156
"220";192;175
"221";193;198
"222";194;30
"223";194;143
"224";195;161
"225";197;181
"226";198;193
"227";198;124
"228";198;186
"229";198;112
"230";198;120
"231";198;124
"232";198;186
"233";199;42
"234";199;43
"235";200;163
"236";200;163
"237";201;222
"238";203;33
"239";203;20
"240";205;125
"241";208;147
"242";208;147
"243";208;147
"244";212;119
"245";213;186
"246";213;114
"247";213;124
"248";215;151
"249";217;46
"250";217;47
"251";218;35
"252";218;139
"253";218;63
"254";218;111
"255";218;85
"256";218;86
"257";218;142
"258";218;167
"259";222;201
"260";223;161
"261";226;103
"262";246;77
